donor	receiver	compound	rate	mass_rate	community	medium
Bacteroides_thetaiotaomicron_VPI_5482	Collinsella_aerofaciens_ATCC_25986	M_anzp__91__e__93__	0.0005283820056671705	0.0001327732570154619	all	LB_extend
Collinsella_aerofaciens_ATCC_25986	Clostridium_hiranonis_TO_931_DSM_13275	M_leu_L__91__e__93__	0.0010053334590859467	0.00013187200262860542	all	LB_extend
environment	Blautia_hydrogenotrophica_DSM_10507	M_pnto_R__91__e__93__	0.0005986564448247581	0.00013064264079090562	all	LB_extend
Blautia_hydrogenotrophica_DSM_10507	Eggerthella_lenta_DSM_2243	M_orn__91__e__93__	0.00097363917455906	0.00012965797105335072	all	LB_extend
environment	Bacteroides_thetaiotaomicron_VPI_5482	M_cytd__91__e__93__	0.0004981527433383671	0.00012115876743905861	all	LB_extend
Prevotella_copri_CB7_DSM_18205	Blautia_hydrogenotrophica_DSM_10507	M_nh4__91__e__93__	0.006524699616128829	0.00011769448908561664	all	LB_extend
environment	Clostridium_hiranonis_TO_931_DSM_13275	M_arg_L__91__e__93__	0.0006606653815043721	0.00011575405836223248	all	LB_extend
environment	Clostridium_hiranonis_TO_931_DSM_13275	M_lys_L__91__e__93__	0.0007644393728129298	0.00011252157703726192	all	LB_extend
environment	Eggerthella_lenta_DSM_2243	M_sheme__91__e__93__	0.00012172699933528356	0.0001106006646880413	all	LB_extend
environment	Clostridium_hiranonis_TO_931_DSM_13275	M_val_L__91__e__93__	0.0009433165817712544	0.00011050566995651718	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Bacteroides_uniformis_ATCC_8492	M_phe_L__91__e__93__	0.0006677160293375968	0.00011029914285543948	all	LB_extend
environment	Bacteroides_thetaiotaomicron_VPI_5482	M_lys_L__91__e__93__	0.0007446321373843509	0.0001096060529990758	all	LB_extend
environment	Bacteroides_thetaiotaomicron_VPI_5482	M_val_L__91__e__93__	0.0009350241191763987	0.00010953424196262649	all	LB_extend
Bacteroides_thetaiotaomicron_VPI_5482	Collinsella_aerofaciens_ATCC_25986	M_nh4__91__e__93__	0.0060008784332475805	0.00010824564544244982	all	LB_extend
Faecalibacterium_prausnitzii_A2_165	Blautia_hydrogenotrophica_DSM_10507	M_nh4__91__e__93__	0.005994349227527437	0.00010812786967090818	all	LB_extend
